The average error among all flows- 246.5333

The flows with largest estimated sizes (Top 100)
Flow ID: 8.27.160.227 Estimated size: 7368 True size: 7272
Flow ID: 159.178.112.71 Estimated size: 7305 True size: 7315
Flow ID: 120.239.64.18 Estimated size: 7288 True size: 7122
Flow ID: 159.178.100.162 Estimated size: 7249 True size: 6392
Flow ID: 172.217.8.80 Estimated size: 7187 True size: 7187
Flow ID: 159.178.115.102 Estimated size: 7137 True size: 7063
Flow ID: 98.18.16.218 Estimated size: 6990 True size: 6944
Flow ID: 192.31.130.136 Estimated size: 6990 True size: 4
Flow ID: 73.224.76.160 Estimated size: 6946 True size: 6946
Flow ID: 34.206.148.175 Estimated size: 6902 True size: 7485
Flow ID: 63.251.240.12 Estimated size: 6899 True size: 7380
Flow ID: 98.18.150.191 Estimated size: 6861 True size: 6714
Flow ID: 95.101.36.67 Estimated size: 6822 True size: 6666
Flow ID: 159.178.129.91 Estimated size: 6783 True size: 6783
Flow ID: 23.195.14.146 Estimated size: 6685 True size: 78
Flow ID: 159.178.129.112 Estimated size: 6652 True size: 7011
Flow ID: 112.198.103.2 Estimated size: 6616 True size: 6652
Flow ID: 94.23.1.139 Estimated size: 6552 True size: 16
Flow ID: 159.178.96.156 Estimated size: 6540 True size: 4992
Flow ID: 66.231.139.112 Estimated size: 6318 True size: 5862
Flow ID: 209.112.113.33 Estimated size: 6312 True size: 6487
Flow ID: 66.87.114.206 Estimated size: 6254 True size: 5722
Flow ID: 159.178.100.82 Estimated size: 6050 True size: 6058
Flow ID: 171.161.207.200 Estimated size: 5992 True size: 6136
Flow ID: 159.178.100.33 Estimated size: 5991 True size: 5996
Flow ID: 178.33.214.223 Estimated size: 5955 True size: 5946
Flow ID: 23.15.61.170 Estimated size: 5911 True size: 5396
Flow ID: 201.251.69.103 Estimated size: 5883 True size: 2
Flow ID: 159.178.32.133 Estimated size: 5874 True size: 5890
Flow ID: 159.178.100.84 Estimated size: 5872 True size: 5867
Flow ID: 207.46.13.156 Estimated size: 5862 True size: 5892
Flow ID: 107.77.218.214 Estimated size: 5857 True size: 5254
Flow ID: 198.102.61.236 Estimated size: 5832 True size: 5752
Flow ID: 159.178.119.40 Estimated size: 5766 True size: 6164
Flow ID: 159.178.109.180 Estimated size: 5752 True size: 5744
Flow ID: 71.6.146.185 Estimated size: 5738 True size: 6808
Flow ID: 204.74.115.1 Estimated size: 5686 True size: 5681
Flow ID: 99.166.162.58 Estimated size: 5644 True size: 5530
Flow ID: 198.245.89.70 Estimated size: 5589 True size: 6296
Flow ID: 12.230.217.109 Estimated size: 5585 True size: 3904
Flow ID: 35.190.151.98 Estimated size: 5565 True size: 5524
Flow ID: 69.172.201.238 Estimated size: 5560 True size: 5690
Flow ID: 54.192.205.60 Estimated size: 5545 True size: 5543
Flow ID: 104.92.16.146 Estimated size: 5531 True size: 5571
Flow ID: 128.227.220.36 Estimated size: 5525 True size: 5525
Flow ID: 84.78.18.52 Estimated size: 5525 True size: 3760
Flow ID: 167.68.20.174 Estimated size: 5497 True size: 5423
Flow ID: 199.204.59.137 Estimated size: 5444 True size: 5472
Flow ID: 149.111.148.27 Estimated size: 5416 True size: 5421
Flow ID: 40.76.218.33 Estimated size: 5410 True size: 5386
Flow ID: 99.125.202.29 Estimated size: 5350 True size: 534
Flow ID: 184.50.26.236 Estimated size: 5253 True size: 5254
Flow ID: 203.113.111.98 Estimated size: 5188 True size: 2
Flow ID: 59.45.175.56 Estimated size: 5188 True size: 5172
Flow ID: 24.189.61.53 Estimated size: 5181 True size: 4662
Flow ID: 216.58.219.67 Estimated size: 5139 True size: 5122
Flow ID: 96.7.49.194 Estimated size: 5139 True size: 5139
Flow ID: 216.200.96.194 Estimated size: 5133 True size: 5168
Flow ID: 209.73.179.8 Estimated size: 5108 True size: 5108
Flow ID: 128.227.236.254 Estimated size: 5097 True size: 5102
Flow ID: 208.80.124.2 Estimated size: 5052 True size: 5001
Flow ID: 170.146.96.193 Estimated size: 4993 True size: 4926
Flow ID: 24.236.111.9 Estimated size: 4975 True size: 5216
Flow ID: 208.80.125.4 Estimated size: 4950 True size: 4966
Flow ID: 128.227.71.18 Estimated size: 4918 True size: 4926
Flow ID: 188.184.36.52 Estimated size: 4916 True size: 4904
Flow ID: 104.17.8.41 Estimated size: 4876 True size: 4932
